,date_index0,date_index1,date_index2,date_index3,date_index4,date_index5,date_index6,title
54,14,21,20,19,23,33,44,Star Trek Beyond
55,8,11,11,0,15,8,8,WALL·E
56,20,28,31,36,27,32,39,Rush Hour 3
57,22,30,35,33,35,46,51,2012
58,19,24,28,29,37,45,38,A Christmas Carol
59,14,17,19,16,25,32,48,Jupiter Ascending
60,6,8,8,8,14,22,34,The Legend of Tarzan
61,0,0,0,0,0,48,0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
62,57,76,77,54,49,56,81,X-Men: Apocalypse
63,16,17,19,19,25,29,38,The Dark Knight
64,70,80,75,69,70,77,73,Up
65,18,24,28,7,36,34,30,Monsters vs. Aliens
66,17,21,22,20,21,31,54,Iron Man
67,58,59,60,64,65,64,71,Hugo
68,18,17,21,21,17,25,48,The Mummy: Tomb of the Dragon Emperor
69,18,24,25,26,50,66,74,Suicide Squad
70,21,22,30,24,27,35,40,Evan Almighty
71,31,37,33,25,30,30,43,Edge of Tomorrow
72,13,12,20,17,20,30,44,G.I. Joe: The Rise of Cobra
73,15,20,21,18,20,26,35,Inside Out
74,62,89,83,61,52,48,53,Iron Man 2
75,17,22,23,25,24,32,40,Snow White and the Huntsman
76,15,20,19,21,22,34,51,Maleficent
77,11,12,16,13,16,29,38,Dawn of the Planet of the Apes
78,20,25,30,36,35,38,54,47 Ronin
79,32,43,48,38,31,39,42,Captain America: The Winter Soldier
80,9,18,13,15,17,20,30,Shrek Forever After
81,18,22,24,23,23,28,38,Tomorrowland
82,9,13,13,13,15,18,25,Big Hero 6
83,11,14,15,19,30,31,44,Wreck-It Ralph
84,22,28,42,42,41,68,0,The Polar Express
85,12,17,16,18,30,28,51,Independence Day: Resurgence
86,14,19,21,16,20,22,30,How to Train Your Dragon
87,15,15,16,15,15,21,36,Guardians of the Galaxy
88,10,12,15,14,19,29,41,Interstellar
89,10,12,11,12,14,19,24,Inception
90,55,44,44,22,27,22,45,Godzilla Resurgence
91,18,18,19,19,22,34,40,The Hobbit: An Unexpected Journey
92,15,18,21,18,28,31,41,The Curious Case of Benjamin Button
93,18,19,19,19,21,34,47,X-Men: First Class
94,15,12,30,22,16,18,37,The Hunger Games: Mockingjay - Part 2
95,16,18,15,13,8,16,24,The Sorcerer's Apprentice
96,25,25,33,43,38,38,41,Poseidon
97,14,19,19,22,26,29,45,Alice Through the Looking Glass
98,20,24,26,22,25,28,39,Shrek the Third
99,41,52,50,35,40,42,56,Warcraft
100,20,25,28,34,39,37,46,Terminator Genisys
101,32,49,51,39,36,50,61,The Chronicles of Narnia: The Voyage of the Dawn Treader
102,28,32,40,47,56,59,54,Transformers
103,58,55,65,68,70,73,66,Alexander
104,46,45,47,44,61,60,74,Harry Potter and the Order of the Phoenix
105,34,54,43,37,31,30,36,Harry Potter and the Goblet of Fire
106,23,24,29,32,37,31,53,Hancock
107,23,22,26,22,24,28,34,I Am Legend
108,26,22,28,41,40,35,46,Charlie and the Chocolate Factory
109,23,35,40,26,28,33,41,Ratatouille
110,21,23,24,31,30,35,39,Batman Begins
111,15,15,18,18,26,18,29,Madagascar: Escape 2 Africa
112,20,22,18,9,17,11,23,Night at the Museum: Battle of the Smithsonian
113,17,29,26,22,28,42,49,X-Men Origins: Wolverine
114,28,29,31,41,44,38,38,Frozen
115,41,61,62,46,40,37,40,Thor: The Dark World
116,12,15,15,22,28,30,49,Mad Max: Fury Road
117,28,26,38,29,31,47,58,Angels & Demons
