Name,API,Most Followed Acount Followers
Gary Cooper,"twurl ""/1.1/users/search.json?count=1&q=Gary Cooper"" | jq '.[] | .followers_count'$'\n' >> output.log",22447
Philip Seymour Hoffman,"twurl ""/1.1/users/search.json?count=1&q=Philip Seymour Hoffman"" | jq '.[] | .followers_count'$'\n' >> output.log",474
Robert Redford,"twurl ""/1.1/users/search.json?count=1&q=Robert Redford"" | jq '.[] | .followers_count'$'\n' >> output.log",186251
Ralph Fiennes,"twurl ""/1.1/users/search.json?count=1&q=Ralph Fiennes"" | jq '.[] | .followers_count'$'\n' >> output.log",1562
Joaquin Phoenix,"twurl ""/1.1/users/search.json?count=1&q=Joaquin Phoenix"" | jq '.[] | .followers_count'$'\n' >> output.log",2552
Will Smith,"twurl ""/1.1/users/search.json?count=1&q=Will Smith"" | jq '.[] | .followers_count'$'\n' >> output.log",409470
Steve McQueen,"twurl ""/1.1/users/search.json?count=1&q=Steve McQueen"" | jq '.[] | .followers_count'$'\n' >> output.log",8306
Vivien Leigh,"twurl ""/1.1/users/search.json?count=1&q=Vivien Leigh"" | jq '.[] | .followers_count'$'\n' >> output.log",3288
Angelina Jolie,"twurl ""/1.1/users/search.json?count=1&q=Angelina Jolie"" | jq '.[] | .followers_count'$'\n' >> output.log",24938
Anne Hathaway,"twurl ""/1.1/users/search.json?count=1&q=Anne Hathaway"" | jq '.[] | .followers_count'$'\n' >> output.log",4399
Maggie Smith,"twurl ""/1.1/users/search.json?count=1&q=Maggie Smith"" | jq '.[] | .followers_count'$'\n' >> output.log",14863
Olivia de Havilland,"twurl ""/1.1/users/search.json?count=1&q=Olivia de Havilland"" | jq '.[] | .followers_count'$'\n' >> output.log",1396
Barbara Stanwyck,"twurl ""/1.1/users/search.json?count=1&q=Barbara Stanwyck"" | jq '.[] | .followers_count'$'\n' >> output.log",284
Joan Fontaine,"twurl ""/1.1/users/search.json?count=1&q=Joan Fontaine"" | jq '.[] | .followers_count'$'\n' >> output.log",822
Greer Garson,"twurl ""/1.1/users/search.json?count=1&q=Greer Garson"" | jq '.[] | .followers_count'$'\n' >> output.log",368
Faye Dunaway,"twurl ""/1.1/users/search.json?count=1&q=Faye Dunaway"" | jq '.[] | .followers_count'$'\n' >> output.log",280
