Name,API,Most Followed Acount Followers
Edmund Gwenn,"twurl ""/1.1/users/search.json?count=1&q=Edmund Gwenn"" | jq '.[] | .followers_count'$'\n' >> output.log",735
Harold Russell,"twurl ""/1.1/users/search.json?count=1&q=Harold Russell"" | jq '.[] | .followers_count'$'\n' >> output.log",74
Hugh Grant,"twurl ""/1.1/users/search.json?count=1&q=Hugh Grant"" | jq '.[] | .followers_count'$'\n' >> output.log",12347
Barry Fitzgerald,"twurl ""/1.1/users/search.json?count=1&q=Barry Fitzgerald"" | jq '.[] | .followers_count'$'\n' >> output.log",2073
Charles Coburn,"twurl ""/1.1/users/search.json?count=1&q=Charles Coburn"" | jq '.[] | .followers_count'$'\n' >> output.log",8499793
Van Heflin,"twurl ""/1.1/users/search.json?count=1&q=Van Heflin"" | jq '.[] | .followers_count'$'\n' >> output.log",1542
Donald Crisp,"twurl ""/1.1/users/search.json?count=1&q=Donald Crisp"" | jq '.[] | .followers_count'$'\n' >> output.log",2394
Thomas Mitchell,"twurl ""/1.1/users/search.json?count=1&q=Thomas Mitchell"" | jq '.[] | .followers_count'$'\n' >> output.log",8875164
Walter Brennan,"twurl ""/1.1/users/search.json?count=1&q=Walter Brennan"" | jq '.[] | .followers_count'$'\n' >> output.log",12808144
Joseph Schildkraut,"twurl ""/1.1/users/search.json?count=1&q=Joseph Schildkraut"" | jq '.[] | .followers_count'$'\n' >> output.log",12933062
Keanu Reeves,"twurl ""/1.1/users/search.json?count=1&q=Keanu Reeves"" | jq '.[] | .followers_count'$'\n' >> output.log",2168008
Channing Tatum,"twurl ""/1.1/users/search.json?count=1&q=Channing Tatum"" | jq '.[] | .followers_count'$'\n' >> output.log",163982
Hugh Jackman,"twurl ""/1.1/users/search.json?count=1&q=Hugh Jackman"" | jq '.[] | .followers_count'$'\n' >> output.log",7651
Dwayne Johnson,"twurl ""/1.1/users/search.json?count=1&q=Dwayne Johnson"" | jq '.[] | .followers_count'$'\n' >> output.log",2333703
Adam Sandler,"twurl ""/1.1/users/search.json?count=1&q=Adam Sandler"" | jq '.[] | .followers_count'$'\n' >> output.log",200479
Daniel Radcliffe,"twurl ""/1.1/users/search.json?count=1&q=Daniel Radcliffe"" | jq '.[] | .followers_count'$'\n' >> output.log",2936492
Daniel Craig,"twurl ""/1.1/users/search.json?count=1&q=Daniel Craig"" | jq '.[] | .followers_count'$'\n' >> output.log",5895
Ryan Gosling,"twurl ""/1.1/users/search.json?count=1&q=Ryan Gosling"" | jq '.[] | .followers_count'$'\n' >> output.log",1946
Vin Diesel,"twurl ""/1.1/users/search.json?count=1&q=Vin Diesel"" | jq '.[] | .followers_count'$'\n' >> output.log",3
Ben Affleck,"twurl ""/1.1/users/search.json?count=1&q=Ben Affleck"" | jq '.[] | .followers_count'$'\n' >> output.log",1019
Chris Pine,"twurl ""/1.1/users/search.json?count=1&q=Chris Pine"" | jq '.[] | .followers_count'$'\n' >> output.log",999
Olympia Dukakis,"twurl ""/1.1/users/search.json?count=1&q=Olympia Dukakis"" | jq '.[] | .followers_count'$'\n' >> output.log",29945
Peggy Ashcroft,"twurl ""/1.1/users/search.json?count=1&q=Peggy Ashcroft"" | jq '.[] | .followers_count'$'\n' >> output.log",7
Linda Hunt,"twurl ""/1.1/users/search.json?count=1&q=Linda Hunt"" | jq '.[] | .followers_count'$'\n' >> output.log",665
Maureen Stapleton,"twurl ""/1.1/users/search.json?count=1&q=Maureen Stapleton"" | jq '.[] | .followers_count'$'\n' >> output.log",215460
Mary Steenburgen,"twurl ""/1.1/users/search.json?count=1&q=Mary Steenburgen"" | jq '.[] | .followers_count'$'\n' >> output.log",82039
Beatrice Straight,"twurl ""/1.1/users/search.json?count=1&q=Beatrice Straight"" | jq '.[] | .followers_count'$'\n' >> output.log",150
Vanessa Redgrave,"twurl ""/1.1/users/search.json?count=1&q=Vanessa Redgrave"" | jq '.[] | .followers_count'$'\n' >> output.log",1744
Lee Grant,"twurl ""/1.1/users/search.json?count=1&q=Lee Grant"" | jq '.[] | .followers_count'$'\n' >> output.log",114
Eileen Heckart,"twurl ""/1.1/users/search.json?count=1&q=Eileen Heckart"" | jq '.[] | .followers_count'$'\n' >> output.log",975
Cloris Leachman,"twurl ""/1.1/users/search.json?count=1&q=Cloris Leachman"" | jq '.[] | .followers_count'$'\n' >> output.log",86320
Ruth Gordon,"twurl ""/1.1/users/search.json?count=1&q=Ruth Gordon"" | jq '.[] | .followers_count'$'\n' >> output.log",200955
Estelle Parsons,"twurl ""/1.1/users/search.json?count=1&q=Estelle Parsons"" | jq '.[] | .followers_count'$'\n' >> output.log",813215
Sandy Dennis,"twurl ""/1.1/users/search.json?count=1&q=Sandy Dennis"" | jq '.[] | .followers_count'$'\n' >> output.log",35415
Shelley Winters,"twurl ""/1.1/users/search.json?count=1&q=Shelley Winters"" | jq '.[] | .followers_count'$'\n' >> output.log",346
Maggie Gyllenhaal,"twurl ""/1.1/users/search.json?count=1&q=Maggie Gyllenhaal"" | jq '.[] | .followers_count'$'\n' >> output.log",0
Katie Holmes,"twurl ""/1.1/users/search.json?count=1&q=Katie Holmes"" | jq '.[] | .followers_count'$'\n' >> output.log",92
Patty Duke,"twurl ""/1.1/users/search.json?count=1&q=Patty Duke"" | jq '.[] | .followers_count'$'\n' >> output.log",7
Rita Moreno,"twurl ""/1.1/users/search.json?count=1&q=Rita Moreno"" | jq '.[] | .followers_count'$'\n' >> output.log",3
Wendy Hiller,"twurl ""/1.1/users/search.json?count=1&q=Wendy Hiller"" | jq '.[] | .followers_count'$'\n' >> output.log",1
Miyoshi Umeki,"twurl ""/1.1/users/search.json?count=1&q=Miyoshi Umeki"" | jq '.[] | .followers_count'$'\n' >> output.log",1805
Dorothy Malone,"twurl ""/1.1/users/search.json?count=1&q=Dorothy Malone"" | jq '.[] | .followers_count'$'\n' >> output.log",7323
Jo Van Fleet,"twurl ""/1.1/users/search.json?count=1&q=Jo Van Fleet"" | jq '.[] | .followers_count'$'\n' >> output.log",3657039
Eva Marie Saint,"twurl ""/1.1/users/search.json?count=1&q=Eva Marie Saint"" | jq '.[] | .followers_count'$'\n' >> output.log",5433051
Gloria Grahame,"twurl ""/1.1/users/search.json?count=1&q=Gloria Grahame"" | jq '.[] | .followers_count'$'\n' >> output.log",50263
Kim Hunter,"twurl ""/1.1/users/search.json?count=1&q=Kim Hunter"" | jq '.[] | .followers_count'$'\n' >> output.log",9040764
Andrew Garfield,"twurl ""/1.1/users/search.json?count=1&q=Andrew Garfield"" | jq '.[] | .followers_count'$'\n' >> output.log",18228
Jeremy Renner,"twurl ""/1.1/users/search.json?count=1&q=Jeremy Renner"" | jq '.[] | .followers_count'$'\n' >> output.log",3846777
Steve Carell,"twurl ""/1.1/users/search.json?count=1&q=Steve Carell"" | jq '.[] | .followers_count'$'\n' >> output.log",471120
Jake Gyllenhaal,"twurl ""/1.1/users/search.json?count=1&q=Jake Gyllenhaal"" | jq '.[] | .followers_count'$'\n' >> output.log",530627
Chris Evans,"twurl ""/1.1/users/search.json?count=1&q=Chris Evans"" | jq '.[] | .followers_count'$'\n' >> output.log",7558631
James Franco,"twurl ""/1.1/users/search.json?count=1&q=James Franco"" | jq '.[] | .followers_count'$'\n' >> output.log",4314216
Zach Galifianakis,"twurl ""/1.1/users/search.json?count=1&q=Zach Galifianakis"" | jq '.[] | .followers_count'$'\n' >> output.log",10781030
Will Ferrell,"twurl ""/1.1/users/search.json?count=1&q=Will Ferrell"" | jq '.[] | .followers_count'$'\n' >> output.log",95930
Shia LaBeouf,"twurl ""/1.1/users/search.json?count=1&q=Shia LaBeouf"" | jq '.[] | .followers_count'$'\n' >> output.log",2391758
Seth Rogen,"twurl ""/1.1/users/search.json?count=1&q=Seth Rogen"" | jq '.[] | .followers_count'$'\n' >> output.log",330672
Joseph Gordon-Levitt,"twurl ""/1.1/users/search.json?count=1&q=Joseph Gordon-Levitt"" | jq '.[] | .followers_count'$'\n' >> output.log",66004321
Ryan Reynolds,"twurl ""/1.1/users/search.json?count=1&q=Ryan Reynolds"" | jq '.[] | .followers_count'$'\n' >> output.log",172864
Paul Rudd,"twurl ""/1.1/users/search.json?count=1&q=Paul Rudd"" | jq '.[] | .followers_count'$'\n' >> output.log",16213495
Jason Segel,"twurl ""/1.1/users/search.json?count=1&q=Jason Segel"" | jq '.[] | .followers_count'$'\n' >> output.log",16894
Jason Statham,"twurl ""/1.1/users/search.json?count=1&q=Jason Statham"" | jq '.[] | .followers_count'$'\n' >> output.log",11191
Justin Timberlake,"twurl ""/1.1/users/search.json?count=1&q=Justin Timberlake"" | jq '.[] | .followers_count'$'\n' >> output.log",1816638
Dick Van Dyke,"twurl ""/1.1/users/search.json?count=1&q=Dick Van Dyke"" | jq '.[] | .followers_count'$'\n' >> output.log",5606725
Zac Efron,"twurl ""/1.1/users/search.json?count=1&q=Zac Efron"" | jq '.[] | .followers_count'$'\n' >> output.log",1730486
Jesse Eisenberg,"twurl ""/1.1/users/search.json?count=1&q=Jesse Eisenberg"" | jq '.[] | .followers_count'$'\n' >> output.log",2581781
Owen Wilson,"twurl ""/1.1/users/search.json?count=1&q=Owen Wilson"" | jq '.[] | .followers_count'$'\n' >> output.log",35223477
Jason Bateman,"twurl ""/1.1/users/search.json?count=1&q=Jason Bateman"" | jq '.[] | .followers_count'$'\n' >> output.log",6081
Tyler Perry,"twurl ""/1.1/users/search.json?count=1&q=Tyler Perry"" | jq '.[] | .followers_count'$'\n' >> output.log",765
Liam Hemsworth,"twurl ""/1.1/users/search.json?count=1&q=Liam Hemsworth"" | jq '.[] | .followers_count'$'\n' >> output.log",64
William Shatner,"twurl ""/1.1/users/search.json?count=1&q=William Shatner"" | jq '.[] | .followers_count'$'\n' >> output.log",11561
Shah Rukh Khan,"twurl ""/1.1/users/search.json?count=1&q=Shah Rukh Khan"" | jq '.[] | .followers_count'$'\n' >> output.log",8307925
Thora Birch,"twurl ""/1.1/users/search.json?count=1&q=Thora Birch"" | jq '.[] | .followers_count'$'\n' >> output.log",109
Claire Trevor,"twurl ""/1.1/users/search.json?count=1&q=Claire Trevor"" | jq '.[] | .followers_count'$'\n' >> output.log",662973
Celeste Holm,"twurl ""/1.1/users/search.json?count=1&q=Celeste Holm"" | jq '.[] | .followers_count'$'\n' >> output.log",13462
Anne Baxter,"twurl ""/1.1/users/search.json?count=1&q=Anne Baxter"" | jq '.[] | .followers_count'$'\n' >> output.log",164
Queen Latifah,"twurl ""/1.1/users/search.json?count=1&q=Queen Latifah"" | jq '.[] | .followers_count'$'\n' >> output.log",0
Ethel Barrymore,"twurl ""/1.1/users/search.json?count=1&q=Ethel Barrymore"" | jq '.[] | .followers_count'$'\n' >> output.log",5920
Rosario Dawson,"twurl ""/1.1/users/search.json?count=1&q=Rosario Dawson"" | jq '.[] | .followers_count'$'\n' >> output.log",3623
Teresa Wright,"twurl ""/1.1/users/search.json?count=1&q=Teresa Wright"" | jq '.[] | .followers_count'$'\n' >> output.log",262858
Mary Astor,"twurl ""/1.1/users/search.json?count=1&q=Mary Astor"" | jq '.[] | .followers_count'$'\n' >> output.log",977851
Jane Darwell,"twurl ""/1.1/users/search.json?count=1&q=Jane Darwell"" | jq '.[] | .followers_count'$'\n' >> output.log",11758
Alicia Vikander,"twurl ""/1.1/users/search.json?count=1&q=Alicia Vikander"" | jq '.[] | .followers_count'$'\n' >> output.log",806895
Mia Wasikowska,"twurl ""/1.1/users/search.json?count=1&q=Mia Wasikowska"" | jq '.[] | .followers_count'$'\n' >> output.log",20688
Abigail Breslin,"twurl ""/1.1/users/search.json?count=1&q=Abigail Breslin"" | jq '.[] | .followers_count'$'\n' >> output.log",187122
Gale Sondergaard,"twurl ""/1.1/users/search.json?count=1&q=Gale Sondergaard"" | jq '.[] | .followers_count'$'\n' >> output.log",2880
Melissa McCarthy,"twurl ""/1.1/users/search.json?count=1&q=Melissa McCarthy"" | jq '.[] | .followers_count'$'\n' >> output.log",18076
Tina Fey,"twurl ""/1.1/users/search.json?count=1&q=Tina Fey"" | jq '.[] | .followers_count'$'\n' >> output.log",370
Zoe Saldana,"twurl ""/1.1/users/search.json?count=1&q=Zoe Saldana"" | jq '.[] | .followers_count'$'\n' >> output.log",2023
Elisabeth Moss,"twurl ""/1.1/users/search.json?count=1&q=Elisabeth Moss"" | jq '.[] | .followers_count'$'\n' >> output.log",21622
Adrianne Palicki,"twurl ""/1.1/users/search.json?count=1&q=Adrianne Palicki"" | jq '.[] | .followers_count'$'\n' >> output.log",2637
Jennifer Garner,"twurl ""/1.1/users/search.json?count=1&q=Jennifer Garner"" | jq '.[] | .followers_count'$'\n' >> output.log",2873828
Kristen Wiig,"twurl ""/1.1/users/search.json?count=1&q=Kristen Wiig"" | jq '.[] | .followers_count'$'\n' >> output.log",10495
June Squibb,"twurl ""/1.1/users/search.json?count=1&q=June Squibb"" | jq '.[] | .followers_count'$'\n' >> output.log",491239
Sally Hawkins,"twurl ""/1.1/users/search.json?count=1&q=Sally Hawkins"" | jq '.[] | .followers_count'$'\n' >> output.log",24485
Kaley Cuoco,"twurl ""/1.1/users/search.json?count=1&q=Kaley Cuoco"" | jq '.[] | .followers_count'$'\n' >> output.log",2168118
Naomi Watts,"twurl ""/1.1/users/search.json?count=1&q=Naomi Watts"" | jq '.[] | .followers_count'$'\n' >> output.log",505882
Josh Hutcherson,"twurl ""/1.1/users/search.json?count=1&q=Josh Hutcherson"" | jq '.[] | .followers_count'$'\n' >> output.log",2627693
Charlie Hunnam,"twurl ""/1.1/users/search.json?count=1&q=Charlie Hunnam"" | jq '.[] | .followers_count'$'\n' >> output.log",98215
Nicholas Hoult,"twurl ""/1.1/users/search.json?count=1&q=Nicholas Hoult"" | jq '.[] | .followers_count'$'\n' >> output.log",1489150
Aaron Taylor-Johnson,"twurl ""/1.1/users/search.json?count=1&q=Aaron Taylor-Johnson"" | jq '.[] | .followers_count'$'\n' >> output.log",26964
Bryan Cranston,"twurl ""/1.1/users/search.json?count=1&q=Bryan Cranston"" | jq '.[] | .followers_count'$'\n' >> output.log",3440223
Gerard Butler,"twurl ""/1.1/users/search.json?count=1&q=Gerard Butler"" | jq '.[] | .followers_count'$'\n' >> output.log",166069
Paul Walker,"twurl ""/1.1/users/search.json?count=1&q=Paul Walker"" | jq '.[] | .followers_count'$'\n' >> output.log",2025
Karl Urban,"twurl ""/1.1/users/search.json?count=1&q=Karl Urban"" | jq '.[] | .followers_count'$'\n' >> output.log",29100
Logan Lerman,"twurl ""/1.1/users/search.json?count=1&q=Logan Lerman"" | jq '.[] | .followers_count'$'\n' >> output.log",21818
Dave Franco,"twurl ""/1.1/users/search.json?count=1&q=Dave Franco"" | jq '.[] | .followers_count'$'\n' >> output.log",4043635
Tom Hiddleston,"twurl ""/1.1/users/search.json?count=1&q=Tom Hiddleston"" | jq '.[] | .followers_count'$'\n' >> output.log",5507
Peter Dinklage,"twurl ""/1.1/users/search.json?count=1&q=Peter Dinklage"" | jq '.[] | .followers_count'$'\n' >> output.log",254
Taylor Kitsch,"twurl ""/1.1/users/search.json?count=1&q=Taylor Kitsch"" | jq '.[] | .followers_count'$'\n' >> output.log",73342
Alex Pettyfer,"twurl ""/1.1/users/search.json?count=1&q=Alex Pettyfer"" | jq '.[] | .followers_count'$'\n' >> output.log",301177
Guy Pearce,"twurl ""/1.1/users/search.json?count=1&q=Guy Pearce"" | jq '.[] | .followers_count'$'\n' >> output.log",603512
Mark Ruffalo,"twurl ""/1.1/users/search.json?count=1&q=Mark Ruffalo"" | jq '.[] | .followers_count'$'\n' >> output.log",2361
Mickey Rourke,"twurl ""/1.1/users/search.json?count=1&q=Mickey Rourke"" | jq '.[] | .followers_count'$'\n' >> output.log",300
Frank Langella,"twurl ""/1.1/users/search.json?count=1&q=Frank Langella"" | jq '.[] | .followers_count'$'\n' >> output.log",937
Eddie Redmayne,"twurl ""/1.1/users/search.json?count=1&q=Eddie Redmayne"" | jq '.[] | .followers_count'$'\n' >> output.log",338814
David Strathairn,"twurl ""/1.1/users/search.json?count=1&q=David Strathairn"" | jq '.[] | .followers_count'$'\n' >> output.log",2818
Terrence Howard,"twurl ""/1.1/users/search.json?count=1&q=Terrence Howard"" | jq '.[] | .followers_count'$'\n' >> output.log",1852649
Don Cheadle,"twurl ""/1.1/users/search.json?count=1&q=Don Cheadle"" | jq '.[] | .followers_count'$'\n' >> output.log",9103
Tom Wilkinson,"twurl ""/1.1/users/search.json?count=1&q=Tom Wilkinson"" | jq '.[] | .followers_count'$'\n' >> output.log",1260997
Richard Farnsworth,"twurl ""/1.1/users/search.json?count=1&q=Richard Farnsworth"" | jq '.[] | .followers_count'$'\n' >> output.log",2964628
Nick Nolte,"twurl ""/1.1/users/search.json?count=1&q=Nick Nolte"" | jq '.[] | .followers_count'$'\n' >> output.log",3769736
AnnaSophia Robb,"twurl ""/1.1/users/search.json?count=1&q=AnnaSophia Robb"" | jq '.[] | .followers_count'$'\n' >> output.log",57751
Gemma Arterton,"twurl ""/1.1/users/search.json?count=1&q=Gemma Arterton"" | jq '.[] | .followers_count'$'\n' >> output.log",157931
Olivia Wilde,"twurl ""/1.1/users/search.json?count=1&q=Olivia Wilde"" | jq '.[] | .followers_count'$'\n' >> output.log",11882
Isla Fisher,"twurl ""/1.1/users/search.json?count=1&q=Isla Fisher"" | jq '.[] | .followers_count'$'\n' >> output.log",2356276
Shailene Woodley,"twurl ""/1.1/users/search.json?count=1&q=Shailene Woodley"" | jq '.[] | .followers_count'$'\n' >> output.log",16568
Rebel Wilson,"twurl ""/1.1/users/search.json?count=1&q=Rebel Wilson"" | jq '.[] | .followers_count'$'\n' >> output.log",8746
Emma Roberts,"twurl ""/1.1/users/search.json?count=1&q=Emma Roberts"" | jq '.[] | .followers_count'$'\n' >> output.log",785032
Amber Heard,"twurl ""/1.1/users/search.json?count=1&q=Amber Heard"" | jq '.[] | .followers_count'$'\n' >> output.log",250406
Teresa Palmer,"twurl ""/1.1/users/search.json?count=1&q=Teresa Palmer"" | jq '.[] | .followers_count'$'\n' >> output.log",1296324
Saoirse Ronan,"twurl ""/1.1/users/search.json?count=1&q=Saoirse Ronan"" | jq '.[] | .followers_count'$'\n' >> output.log",688219
Elizabeth Banks,"twurl ""/1.1/users/search.json?count=1&q=Elizabeth Banks"" | jq '.[] | .followers_count'$'\n' >> output.log",890122
Ida Lupino,"twurl ""/1.1/users/search.json?count=1&q=Ida Lupino"" | jq '.[] | .followers_count'$'\n' >> output.log",14247
Natalie Dormer,"twurl ""/1.1/users/search.json?count=1&q=Natalie Dormer"" | jq '.[] | .followers_count'$'\n' >> output.log",192483
Brittany Snow,"twurl ""/1.1/users/search.json?count=1&q=Brittany Snow"" | jq '.[] | .followers_count'$'\n' >> output.log",4993
Kate Mara,"twurl ""/1.1/users/search.json?count=1&q=Kate Mara"" | jq '.[] | .followers_count'$'\n' >> output.log",932013
Julianne Hough,"twurl ""/1.1/users/search.json?count=1&q=Julianne Hough"" | jq '.[] | .followers_count'$'\n' >> output.log",111821
Lily Collins,"twurl ""/1.1/users/search.json?count=1&q=Lily Collins"" | jq '.[] | .followers_count'$'\n' >> output.log",921403
Cobie Smulders,"twurl ""/1.1/users/search.json?count=1&q=Cobie Smulders"" | jq '.[] | .followers_count'$'\n' >> output.log",49320
Alice Eve,"twurl ""/1.1/users/search.json?count=1&q=Alice Eve"" | jq '.[] | .followers_count'$'\n' >> output.log",45470
Jamie Chung,"twurl ""/1.1/users/search.json?count=1&q=Jamie Chung"" | jq '.[] | .followers_count'$'\n' >> output.log",25757
Noomi Rapace,"twurl ""/1.1/users/search.json?count=1&q=Noomi Rapace"" | jq '.[] | .followers_count'$'\n' >> output.log",4197
Blake Lively,"twurl ""/1.1/users/search.json?count=1&q=Blake Lively"" | jq '.[] | .followers_count'$'\n' >> output.log",2544378
Maggie Grace,"twurl ""/1.1/users/search.json?count=1&q=Maggie Grace"" | jq '.[] | .followers_count'$'\n' >> output.log",11
Jessica Biel,"twurl ""/1.1/users/search.json?count=1&q=Jessica Biel"" | jq '.[] | .followers_count'$'\n' >> output.log",1669
Eva Green,"twurl ""/1.1/users/search.json?count=1&q=Eva Green"" | jq '.[] | .followers_count'$'\n' >> output.log",678
Peter Fonda,"twurl ""/1.1/users/search.json?count=1&q=Peter Fonda"" | jq '.[] | .followers_count'$'\n' >> output.log",2746
Woody Harrelson,"twurl ""/1.1/users/search.json?count=1&q=Woody Harrelson"" | jq '.[] | .followers_count'$'\n' >> output.log",7558
Billy Bob Thornton,"twurl ""/1.1/users/search.json?count=1&q=Billy Bob Thornton"" | jq '.[] | .followers_count'$'\n' >> output.log",13356946
Idris Elba,"twurl ""/1.1/users/search.json?count=1&q=Idris Elba"" | jq '.[] | .followers_count'$'\n' >> output.log",12013
Nigel Hawthorne,"twurl ""/1.1/users/search.json?count=1&q=Nigel Hawthorne"" | jq '.[] | .followers_count'$'\n' >> output.log",157174
Laurence Fishburne,"twurl ""/1.1/users/search.json?count=1&q=Laurence Fishburne"" | jq '.[] | .followers_count'$'\n' >> output.log",820
Stephen Rea,"twurl ""/1.1/users/search.json?count=1&q=Stephen Rea"" | jq '.[] | .followers_count'$'\n' >> output.log",274
Warren Beatty,"twurl ""/1.1/users/search.json?count=1&q=Warren Beatty"" | jq '.[] | .followers_count'$'\n' >> output.log",1434
GŽrard Depardieu,"twurl ""/1.1/users/search.json?count=1&q=GŽrard Depardieu"" | jq '.[] | .followers_count'$'\n' >> output.log",1474232
Richard Harris,"twurl ""/1.1/users/search.json?count=1&q=Richard Harris"" | jq '.[] | .followers_count'$'\n' >> output.log",15672
Kenneth Branagh,"twurl ""/1.1/users/search.json?count=1&q=Kenneth Branagh"" | jq '.[] | .followers_count'$'\n' >> output.log",1952
Edward James Olmos,"twurl ""/1.1/users/search.json?count=1&q=Edward James Olmos"" | jq '.[] | .followers_count'$'\n' >> output.log",2812
Max von Sydow,"twurl ""/1.1/users/search.json?count=1&q=Max von Sydow"" | jq '.[] | .followers_count'$'\n' >> output.log",208
Marcello Mastroianni,"twurl ""/1.1/users/search.json?count=1&q=Marcello Mastroianni"" | jq '.[] | .followers_count'$'\n' >> output.log",45
Bob Hoskins,"twurl ""/1.1/users/search.json?count=1&q=Bob Hoskins"" | jq '.[] | .followers_count'$'\n' >> output.log",801
James Woods,"twurl ""/1.1/users/search.json?count=1&q=James Woods"" | jq '.[] | .followers_count'$'\n' >> output.log",996
John Hawkes,"twurl ""/1.1/users/search.json?count=1&q=John Hawkes"" | jq '.[] | .followers_count'$'\n' >> output.log",639
James Garner,"twurl ""/1.1/users/search.json?count=1&q=James Garner"" | jq '.[] | .followers_count'$'\n' >> output.log",130665
Sam Waterston,"twurl ""/1.1/users/search.json?count=1&q=Sam Waterston"" | jq '.[] | .followers_count'$'\n' >> output.log",1163349
Tom Hulce,"twurl ""/1.1/users/search.json?count=1&q=Tom Hulce"" | jq '.[] | .followers_count'$'\n' >> output.log",22623871
Albert Finney,"twurl ""/1.1/users/search.json?count=1&q=Albert Finney"" | jq '.[] | .followers_count'$'\n' >> output.log",4
Tom Conti,"twurl ""/1.1/users/search.json?count=1&q=Tom Conti"" | jq '.[] | .followers_count'$'\n' >> output.log",1802
Tom Courtenay,"twurl ""/1.1/users/search.json?count=1&q=Tom Courtenay"" | jq '.[] | .followers_count'$'\n' >> output.log",722507
Dudley Moore,"twurl ""/1.1/users/search.json?count=1&q=Dudley Moore"" | jq '.[] | .followers_count'$'\n' >> output.log",38561
John Hurt,"twurl ""/1.1/users/search.json?count=1&q=John Hurt"" | jq '.[] | .followers_count'$'\n' >> output.log",125
Kat Dennings,"twurl ""/1.1/users/search.json?count=1&q=Kat Dennings"" | jq '.[] | .followers_count'$'\n' >> output.log",13
Priyanka Chopra,"twurl ""/1.1/users/search.json?count=1&q=Priyanka Chopra"" | jq '.[] | .followers_count'$'\n' >> output.log",0
Emmanuelle Riva,"twurl ""/1.1/users/search.json?count=1&q=Emmanuelle Riva"" | jq '.[] | .followers_count'$'\n' >> output.log",291
Greta Gerwig,"twurl ""/1.1/users/search.json?count=1&q=Greta Gerwig"" | jq '.[] | .followers_count'$'\n' >> output.log",1436
Brie Larson,"twurl ""/1.1/users/search.json?count=1&q=Brie Larson"" | jq '.[] | .followers_count'$'\n' >> output.log",3422
Jessica Lucas,"twurl ""/1.1/users/search.json?count=1&q=Jessica Lucas"" | jq '.[] | .followers_count'$'\n' >> output.log",61
Liv Ullmann,"twurl ""/1.1/users/search.json?count=1&q=Liv Ullmann"" | jq '.[] | .followers_count'$'\n' >> output.log",670551
Maria Falconetti,"twurl ""/1.1/users/search.json?count=1&q=Maria Falconetti"" | jq '.[] | .followers_count'$'\n' >> output.log",2588
Setsuko Hara,"twurl ""/1.1/users/search.json?count=1&q=Setsuko Hara"" | jq '.[] | .followers_count'$'\n' >> output.log",1023
Rosalind Russell,"twurl ""/1.1/users/search.json?count=1&q=Rosalind Russell"" | jq '.[] | .followers_count'$'\n' >> output.log",5548
Linda Fiorentino,"twurl ""/1.1/users/search.json?count=1&q=Linda Fiorentino"" | jq '.[] | .followers_count'$'\n' >> output.log",122
Gabourey Sidibe,"twurl ""/1.1/users/search.json?count=1&q=Gabourey Sidibe"" | jq '.[] | .followers_count'$'\n' >> output.log",25
Catherine Deneuve,"twurl ""/1.1/users/search.json?count=1&q=Catherine Deneuve"" | jq '.[] | .followers_count'$'\n' >> output.log",109416
Mia Farrow,"twurl ""/1.1/users/search.json?count=1&q=Mia Farrow"" | jq '.[] | .followers_count'$'\n' >> output.log",119
Audrey Tautou,"twurl ""/1.1/users/search.json?count=1&q=Audrey Tautou"" | jq '.[] | .followers_count'$'\n' >> output.log",13947
Jeanne Moreau,"twurl ""/1.1/users/search.json?count=1&q=Jeanne Moreau"" | jq '.[] | .followers_count'$'\n' >> output.log",4640
Isabelle Huppert,"twurl ""/1.1/users/search.json?count=1&q=Isabelle Huppert"" | jq '.[] | .followers_count'$'\n' >> output.log",244342
Gena Rowlands,"twurl ""/1.1/users/search.json?count=1&q=Gena Rowlands"" | jq '.[] | .followers_count'$'\n' >> output.log",708
Lesley Manville,"twurl ""/1.1/users/search.json?count=1&q=Lesley Manville"" | jq '.[] | .followers_count'$'\n' >> output.log",7542
Elizabeth Olsen,"twurl ""/1.1/users/search.json?count=1&q=Elizabeth Olsen"" | jq '.[] | .followers_count'$'\n' >> output.log",25866
Nastassja Kinski,"twurl ""/1.1/users/search.json?count=1&q=Nastassja Kinski"" | jq '.[] | .followers_count'$'\n' >> output.log",590834
MŽlanie Laurent,"twurl ""/1.1/users/search.json?count=1&q=MŽlanie Laurent"" | jq '.[] | .followers_count'$'\n' >> output.log",15096
Whitney Houston,"twurl ""/1.1/users/search.json?count=1&q=Whitney Houston"" | jq '.[] | .followers_count'$'\n' >> output.log",703
Felicity Huffman,"twurl ""/1.1/users/search.json?count=1&q=Felicity Huffman"" | jq '.[] | .followers_count'$'\n' >> output.log",880578
Imelda Staunton,"twurl ""/1.1/users/search.json?count=1&q=Imelda Staunton"" | jq '.[] | .followers_count'$'\n' >> output.log",2529
Oscar Isaac,"twurl ""/1.1/users/search.json?count=1&q=Oscar Isaac"" | jq '.[] | .followers_count'$'\n' >> output.log",3587
Jon Heder,"twurl ""/1.1/users/search.json?count=1&q=Jon Heder"" | jq '.[] | .followers_count'$'\n' >> output.log",816
Miles Teller,"twurl ""/1.1/users/search.json?count=1&q=Miles Teller"" | jq '.[] | .followers_count'$'\n' >> output.log",10000
Daniel BrŸhl,"twurl ""/1.1/users/search.json?count=1&q=Daniel BrŸhl"" | jq '.[] | .followers_count'$'\n' >> output.log",2557
James Gandolfini,"twurl ""/1.1/users/search.json?count=1&q=James Gandolfini"" | jq '.[] | .followers_count'$'\n' >> output.log",8877
