budget,Gross USA,imdbID,Cumulative Worldwide Gross,Opening Weekend USA,user review number,critic number
20000000,91186,tt1829012,,40100,97,205
,87910,tt2035630,,15662,23,76
8000000,84293,tt1531901,,16643,118,250
,83796,tt2014346,,34362,6,31
,83725,tt2268732,,29435,22,82
,78950,tt2205697,,34967,94,89
200000,78030,tt1211890,,78030,12,36
2900000,72140,tt1763264,,47798,83,132
,72100,tt1753813,,72100,30,132
,71921,tt1846472,,13288,16,132
3500000,70544,tt1820488,313387,8714,28,97
,65975,tt2073520,,10055,5,33
12000000,65804,tt1667310,,19391,95,161
,65233,tt2184331,,17194,27,46
,62297,tt1590013,,9971,10,21
,61465,tt2005153,,23190,7,14
,57387,tt2459022,205457387,32206,7,18
,55261,tt1846487,,7072,10,135
31000000,54000,tt2071441,,18027,7,23
14000000,52624,tt1748179,8513616,10340,144,195
NY 150000000,50425,tt2371411,118613213,17791,15,32
,50020,tt1715876,,7166,7,20
UD 2500000,45267,tt1684925,,25937,31,63
,45209,tt1901040,,20424,22,118
8000000,42286,tt2131698,,4100,6,39
,41113,tt2112293,,6000,30,55
2000000,40179,tt1780762,,40179,94,152
,38911,tt1754367,,2422,11,109
8000000,38842,tt1678051,,24978,61,30
,38674,tt1745686,,2188,35,74
3000000,38100,tt1995341,,15305,51,75
1300000,35722,tt2023690,,7384,110,272
15000000,35067,tt2296404,20579390,12624,6,39
RL 1860000,32240,tt2190367,,9500,17,255
,30474,tt1713476,,19926,130,220
,29494,tt2215395,,1548,5,37
,28254,tt1618445,,10774,7,71
,28026,tt1937222,,15774,19,10
3000000,26345,tt0857190,,20321,104,111
,25163,tt1748260,,10874,8,21
,24995,tt1907731,,7269,22,71
,24296,tt1942989,,11655,10,15
3600000,23808,tt1403214,,6014,28,119
,22930,tt1791614,,12940,50,60
,22139,tt1989712,,3207,10,87
103000,21932,tt2299842,,6222,33,135
,21660,tt1935896,,10110,134,201
,21303,tt1790834,,5054,21,97
26350000,20998,tt1132449,,20998,40,113
,20791,tt2131523,,13059,8,53
6000000,20551,tt2103217,,5571,141,283
,18455,tt1690389,,5343,3,65
,17646,tt2245195,,5775,15,47
1100000,17401,tt1079360,,10185,15,36
,17346,tt1655416,,750,45,41
2000000,17061,tt1763303,,17061,60,20
,16135,tt1729226,,4680,19,42
,16017,tt2124074,,1869,15,25
200000,15368,tt1918727,,3412,11,37
,15059,tt1772408,,588,8,7
13000000,14947,tt1396226,,14947,29,39
,14928,tt2133239,,10793,18,64
1000000,14686,tt1484521,,8624,1,16
,14376,tt1781840,,9320,28,65
,14325,tt1959438,,2723,38,111
,13800,tt2331880,,13800,14,33
,13385,tt2320924,91785,13385,17,22
,13220,tt1734586,,8372,14,19
,11654,tt2325741,,2327,8,72
335000,10895,tt1961447,,1539,2,7
,10443,tt2070597,,10443,11,13
,10305,tt2076897,,10305,31,65
,10000,tt0811137,,10000,5,51
5000000,14567,tt2347497,,9672,70,123
,9222,tt1587309,,2929,19,24
,9155,tt2336960,,3391,12,44
6400000,8973,tt1649444,10148447,3001,163,231
,8863,tt2132324,,5098,10,58
,8601,tt1971403,,282,5,18
,8326,tt1827578,,1955,5,29
5600000,8139,tt1852770,643758,3085,53,140
,7282,tt1570583,,6000,11,77
,6674,tt2087850,,6674,12,39
900000,6643,tt1935902,,4468,41,62
,6629,tt2062497,,2000,4,12
,6497,tt1634286,,6497,3,31
,6248,tt2290065,,3419,18,85
2000000,6240,tt1845849,,2783,15,29
,6111,tt2036376,,6111,45,60
10000000,6106,tt1663631,,3259,9,12
,5959,tt2371824,,828,8,88
,5750,tt2083379,,630,40,27
11500000,5460,tt1659343,1402307,3181,90,121
,5360,tt1769363,,2831,31,24
15000000,5290,tt1847713,,3296,13,35
,5215,tt0835418,,5215,19,69
,5102,tt1979172,,5102,7,62
