Opening Weekend USA,Gross USA,user review number,budget,Cumulative Worldwide Gross,imdbID,critic number
440,14773,4,,,tt0223828,6
,14432,8,,,tt0365285,16
2001,14107,61,1000000,,tt0246404,16
1602,14075,14,,,tt0400761,27
3852,13893,47,PY 5000000,,tt0434179,73
4763,11807,13,,,tt0403692,32
3600,10529,2,,,tt0407551,11
1317,10462,9,,,tt0380420,19
2903,9623,13,,,tt0420090,59
5503,9496,27,,,tt0373152,8
4667,9376,12,,,tt0301358,8
849,9291,13,,,tt0359254,37
8000,8000,29,,,tt0329030,9
2157,7396,3,,,tt0388118,11
784,7129,16,,,tt0424273,15
3356,6839,15,,,tt0430063,11
1114,6437,7,,,tt0396502,5
1825,6013,219,695393,,tt0419677,101
1890,5741,11,,,tt0364435,20
5199,5199,23,200000,,tt0366444,12
4210,4210,12,250000,,tt0401593,19
2574,4119,15,,,tt0360025,6
1852,3565,33,,,tt0376649,38
1720,3306,43,,,tt0381682,46
1544,2731,9,,,tt0389738,29
635,2623,89,,,tt0407621,98
2568,2568,7,,,tt0382691,16
2453,2453,29,1000000,,tt0393775,8
2438,2438,9,,,tt0412042,11
1511,1511,11,,,tt0368962,14
1042,1042,13,,,tt0396962,11
8713,199,40,,,tt0401248,49
,,85,,,tt0347048,125
,,58,,,tt0348529,66
