Gross USA,user review number,Cumulative Worldwide Gross,imdbID,Opening Weekend USA,budget,critic number
294313,19,,tt3422078,11413,12400000,69
290880,18,,tt4135844,5980,,66
277636,8,,tt4193400,33781,,80
268548,11,,tt4048050,26847,,94
247597,43,,tt4082068,20249,,209
240067,34,,tt2097331,14506,,69
231703,221,,tt2400463,67739,,211
229094,99,,tt3205376,6459,2000000,258
216202,16,,tt3689910,24524,,78
210591,17,125784988,tt2909116,,38000000,59
208799,16,,tt3754940,18258,3800000,102
197973,47,,tt1837562,100847,,77
195580,24,,tt4944352,15485,,16
187112,229,,tt1881002,131175,8500000,265
186908,2,,tt4440036,85000,,6
186354,36,,tt3018070,112414,13500000,80
186255,20,,tt4411504,12519,,135
177062,13,,tt4334482,48995,,56
176637,83,,tt3616916,60321,OK 50000000,158
166425,23,,tt4238858,11300,,72
161789,31,,tt2217859,24259,11000000,170
161531,25,,tt1708135,15806,,100
160165,13,,tt3717016,2969,,13
159257,33,,tt2262161,12995,,96
155075,56,,tt3726704,8682,,99
146070,20,,tt2848324,69132,,44
143656,19,,tt4511200,9628,,75
140779,32,,tt4266638,9880,,76
135382,4,,tt3809478,8571,,12
135026,27,,tt2338424,,,44
129747,54,,tt2349144,12434,,120
128002,111,,tt3813310,26146,800000,162
122902,23,1113277,tt3830162,28997,,133
119949,19,,tt4298958,4630,PY 234000000,124
119364,21,,tt3704416,25000,,68
118483,87,,tt1598642,56902,,131
112061,19,,tt4428814,10011,,130
109972,8,,tt3054798,50240,,17
107004,10,,tt4273886,1234,,15
105943,15,,tt3110770,105943,1500000,14
104706,20,,tt4374460,15892,1250000,89
103887,23,,tt3824412,17782,,88
102971,13,,tt4935158,13560,,88
102890,15,,tt3730510,26674,,17
98818,22,,tt5278832,7370,,106
95543,12,22458,tt2534634,5572,1605000,56
94464,13,101368,tt4288636,12007,,95
89182,42,100933,tt3792960,19812,8555500,149
83861,144,,tt1365050,51003,6000000,180
80809,84,,tt3278330,9000,12000000,221
80244,13,,tt3740778,4691,,111
79800,13,,tt3121332,8023,,82
78353,35,,tt3993894,11360,,125
74068,106,123928485,tt3672840,12102,65000000,72
73725,12,,tt4228294,14283,,55
66371,19,,tt4158624,18131,5000000,54
62480,10,,tt3277624,6964,1000000,53
60438,15,,tt2394063,7000,,50
59333,16,,tt3397754,,,33
59137,19,,tt3909336,11858,1700000,24
57678,28,,tt3640682,15758,495000,52
57491,7,,tt3882000,4593,,55
56177,3,,tt4794512,2771,,21
54734,79,17616062,tt3319920,33915,,150
53809,13,,tt3478962,6273,,120
52407,10,,tt3715122,5686,3200850,58
50291,5,,tt3651326,7005,,58
50000,115,,tt3672742,50000,,190
49086,2,,tt4466544,6221,,37
46675,5,,tt2711898,11067,,65
46476,10,,tt3480886,9466,,62
45650,17,,tt3955894,2700,UD 1500000,45
44242,24,,tt3343784,5132,,76
41866,22,,tt3638396,6118,,52
38786,3,,tt5004766,5849,1000000,33
37934,40,,tt3442990,669,,39
36336,487,5214043,tt3605418,3943,2500000,199
35034,5,,tt4080768,15413,,70
35000,23,,tt2503954,,15000000,22
34282,9,,tt1702429,9823,2472000,98
34195,7,,tt3566788,3430,,23
34043,16,,tt3066630,696,,85
33508,14,,tt4515684,13624,900000,79
33275,3,,tt2296747,9738,,27
32848,31,,tt3680410,620,UD 3992880,29
32095,97,,tt3289728,9206,16000000,117
30987,8,,tt1856057,4352,,52
30924,3,,tt4400174,4189,,40
30127,19,,tt3877674,2654,,107
30108,13,,tt4721400,5136,,75
29756,14,,tt4375438,6514,,156
28411,2,,tt4935282,7854,,28
28289,9,,tt4120210,9849,,84
28184,1,,tt4957446,1116,,11
26414,,,tt3596382,4977,,3
26376,33,,tt3922816,373,,85
26353,4,,tt4899406,6413,,67
26305,22,,tt3185602,6907,,27
25676,10,,tt3526706,3163,,155
25369,102,,tt2091935,25369,8000000,69
24852,5,,tt4569240,5320,,33
24013,3,,tt3791302,7488,5000000,73
22386,26,,tt3317208,6747,,39
22272,7,,tt4085944,4242,,67
21080,17,,tt2537390,3056,,11
21074,20,,tt3781476,21074,,29
20991,5,,tt4035268,3807,,55
20555,14,,tt4048668,14827,,32
20083,62,,tt3450900,1877,25000000,93
19980,94,,tt3286052,12402,,99
18654,6,,tt2566644,8966,2100000,13
350126372,955,547326372,tt2179136,676909,58800000,503
337135885,595,755356711,tt1951265,121897634,125000000,421
333176600,1191,774176600,tt2015381,94320883,170000000,684
259766572,787,714766572,tt1843866,95023721,170000000,587
257760692,498,468760692,tt1490017,69050279,60000000,452
255119788,837,956019788,tt2310332,54724334,250000000,439
245439076,962,1104039076,tt2109248,100038390,210000000,389
241410378,655,758539785,tt1587310,69431298,180000000,411
233921534,774,748121534,tt1877832,90823660,200000000,549
222527828,463,657827828,tt2245084,56215889,165000000,396
208545589,660,710644566,tt2103281,72611427,170000000,539
202853933,1110,708982323,tt1872181,91608337,200000000,519
200676069,1520,529076069,tt0831387,93205000,160000000,611
191719337,334,331333876,tt2294449,57071445,50000000,337
191204754,515,493333584,tt1291150,65575105,125000000,353
188020017,3047,675020017,tt0816692,47510360,165000000,710
177002924,355,621537519,tt1646971,49451322,145000000,300
167767189,1215,369330363,tt2267998,37513109,61000000,602
150947895,752,288885818,tt1840309,54607747,85000000,467
