budget,Cumulative Worldwide Gross,critic number,user review number,imdbID,Gross USA,Opening Weekend USA
2500000,,18,18,tt0465407,71904,37924
2000000,,12,25,tt0464184,71840,15704
,,156,136,tt0437857,69136,38500
NY 10000000,,101,36,tt0859765,68236,16036
,,23,15,tt0469897,65937,32867
,,86,93,tt0458367,64802,32452
,,48,29,tt0404163,63911,22465
14000000,,112,92,tt0386741,63260,10800
1500000,,54,17,tt0769508,63049,12231
,,49,14,tt0855895,62897,15086
2500000,,35,27,tt0794374,62707,10649
,,39,49,tt0375785,59619,25711
3400000,,48,36,tt0446298,54902,54902
,,68,23,tt0491244,54855,10811
8000000,,24,34,tt0360323,53481,20774
3000000,,87,32,tt0469754,51300,10052
12000000,,68,91,tt0763840,49753,25261
KD 35000000,,95,29,tt0796212,49413,20351
6000000,,20,43,tt0425253,48913,21828
,68673565,100,81,tt0495596,48461,20614
1000000,,25,13,tt0468548,48195,7187
2400000,,35,17,tt0448166,45816,25829
,,62,83,tt0424880,44720,3646
,,57,25,tt0464029,43060,5974
,,27,14,tt0474622,37810,5384
5000000,,93,86,tt0454864,32921,8090
1500000,,33,28,tt0780492,32525,13100
,,46,31,tt0499455,31777,5457
,,45,15,tt0496319,30629,8524
,,16,30,tt0783695,28683,4956
,,11,19,tt0451135,28613,32397
3000000,,65,78,tt0448124,26014,16113
,,35,17,tt0483812,25073,3401
,3279495,131,166,tt0460740,24942,14878
,,29,20,tt0479965,24035,6763
60000,,28,6,tt0492463,22829,5065
,,45,25,tt0792948,22490,6485
,,57,22,tt0450680,22188,1794
1000000,,21,26,tt0475390,21908,15598
1500000,,16,14,tt0451221,21298,15959
,,6,13,tt0795371,20138,15841
,,54,15,tt0855824,19136,4377
8000000,,65,40,tt0494271,18569,18569
1400000,,9,15,tt0486751,18435,4515
