Gross USA,Opening Weekend USA,critic number,user review number,imdbID,budget,Cumulative Worldwide Gross
5932,1862,43,16,tt0445396,,
5757,3407,31,34,tt0427582,3000000,
5534,30676,69,29,tt0435479,,
5264,1549,11,10,tt0452671,,
5203,2485,12,26,tt0401385,650000,
5125,4593,24,20,tt0414713,,
4810,2177,16,14,tt0421528,,
4059,4059,14,6,tt0376827,,
3248,3248,6,4,tt0399048,,
3025,3025,22,4,tt0428672,2000000,
2348,173,16,11,tt0338294,250000,
2065,2065,7,10,tt0443564,,
