budget,user review number,Cumulative Worldwide Gross,Opening Weekend USA,Gross USA,critic number,imdbID
LN 15000000,81,14723313,11053,118095,104,tt0879843
300000,9,,16707,109269,58,tt0887732
,87,,13024,106368,92,tt1078188
,6,,73452,104999,11,tt0227671
,26,,20488,103970,36,tt0996605
,11,,7736,94901,36,tt0911024
,28,,23832,91169,32,tt0490579
,39,,9864,86356,100,tt0487419
,35,,7373,83398,26,tt0816545
,25,,6992,82369,18,tt0772200
3600000,7,,30000,79436,9,tt0765460
,21,,6103,77876,77,tt0792986
,17,,30797,77827,33,tt0991167
9000000,20,,6022,77588,20,tt0887745
,33,,7418,77310,71,tt0869977
,15,,14800,77300,49,tt0487273
10000000,55,,16525,77177,71,tt0783608
,10,,10321,76106,44,tt0838233
35000,4,,3242,74494,14,tt1020936
5000000,74,,8844,67152,139,tt0758786
5000000,109,,25628,65388,132,tt0937237
,135,,29172,62745,71,tt0810988
,11,,9413,62408,53,tt0800205
,4,,19083,61678,32,tt0984175
3800000,48,,13490,59255,86,tt0466816
,53,,35201,59108,30,tt0790623
,25,,5888,58776,40,tt0384683
3500000,108,3119957,19419,58669,182,tt0804507
AD 5000000,63,,13910,55704,60,tt0488988
,12,,8385,54166,32,tt0834938
500000,12,,11903,52850,33,tt0843850
980000,54,,11967,52293,106,tt0841925
2000000,48,,13880,50080,92,tt0772168
,36,,11440,49333,54,tt0493402
3800000,71,,12172,48034,115,tt0906665
4000000,31,,15810,46474,67,tt0465436
,27,,11455,46060,32,tt0910847
,48,,3241,46011,81,tt0995829
,35,,4553,45661,89,tt0952682
,24,,3470,45056,61,tt1024942
4500000,46,,5694,44064,77,tt0762110
,27,,23518,40677,38,tt0796302
,40,,7133,40257,95,tt0997147
,24,,7039,39203,28,tt0978649
2600000,144,,4351,38108,176,tt0480669
AD 750000,50,,3002,31576,62,tt0801526
,38,,8701,30041,31,tt0416675
,22,,6067,26157,18,tt0470737
10000000,106,858728,19487,25775,69,tt0485851
