Cumulative Worldwide Gross,Opening Weekend USA,user review number,Gross USA,critic number,imdbID,budget
3533227,34394,233,83361,186,tt0805570,15000000
,25933,26,81364,26,tt0870122,
,15485,16,81313,57,tt0975684,
,32783,20,80238,41,tt0768218,
,8572,21,76211,72,tt1153690,700000
,35050,41,75727,48,tt0804529,2500000
,18535,49,73361,52,tt1034325,
,11650,23,70059,63,tt1087890,
,5922,10,69308,28,tt1213926,
,12615,38,66643,86,tt0445953,10000000
,12824,9,64407,65,tt1225296,
,5014,17,60023,61,tt1143155,
,35281,23,57180,24,tt0446676,5000000
,31340,18,56408,31,tt0889134,
,4724,31,56299,37,tt1067733,
,7452,32,53971,75,tt1172206,500000
,32764,25,53760,28,tt0472050,2000000
,7298,22,52166,44,tt1087527,2000000
,478,21,52107,44,tt0790799,
,3509,11,47175,64,tt1224153,
,17092,39,47174,85,tt1085507,
,27491,7,46180,12,tt1049948,
,3045,40,41343,115,tt1233381,
,923,1,38693,13,tt1020950,2000000
,24900,145,36756,49,tt1117385,2900000
,5971,37,36497,24,tt0976247,6000000
,13075,46,36230,36,tt1086216,
,1240,9,30818,21,tt1264074,
,3944,52,28635,85,tt0819714,
,9125,6,28564,18,tt1095001,1500000
1596232,27696,106,27696,78,tt0804492,
1115493,4590,129,27349,140,tt0409345,3500000
,9508,47,23091,69,tt0436364,15000000
,4597,16,22406,57,tt1042499,3500000
,10324,31,22153,33,tt0411323,3000000
,12404,12,22083,25,tt1031243,
,11832,13,21291,36,tt1007950,
,11992,4,20450,27,tt1000769,
,10876,13,19853,23,tt0828393,
,4744,73,18378,114,tt0988849,900000
,4254,12,17196,44,tt0960721,2500000
,16975,7,16975,20,tt0792978,8400000
,9438,9,15979,13,tt0770814,4000000
,5036,52,15542,35,tt0944101,
,3484,7,13689,72,tt1022606,
,3075,52,13023,62,tt0961728,
,7395,18,11864,28,tt0414426,
,8092,34,11762,37,tt0470679,3400000
,10958,6,10958,25,tt0772165,8000000
,3456,23,10942,36,tt1151384,
,4973,9,10794,29,tt1090680,800000
,3190,15,10060,75,tt0929412,
,2789,6,9626,16,tt0834541,250000
,3927,4,8247,12,tt1270494,
,2830,24,7621,46,tt0808339,24000000
,3529,53,7066,110,tt0902290,750000
